Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
trouble,state of difficulty or stress,7,2,4.79,medium
resist,to try to stop or prevent something,6,2,4.2,hard
compete,to try to win something such as a race or game,7,2,4.39,medium
trust,to be confident that someone is honest and reliable ,5,1,5.13,easy
truth,real facts about something,5,1,5.05,easy
spin,to turn around repeatedly,4,1,4.38,hard
twist,to turn something in opposite directions at the same time,5,1,4.22,hard
look,to turn your eyes in a particular direction,4,1,5.81,easy
twice,two times,5,1,4.84,easy
figure,to understand after thinking; work out,6,2,5.07,hard
hold,to use hands or arms to carry or keep something,4,1,5.19,easy
spend,to use money to pay for something,5,1,4.97,easy
typical,normal; usual; expected,7,3,4.59,medium
force,to use physical strength or violence to persuade,5,1,5.23,easy
say,to use words to tell a message,3,1,5.89,easy
speak,"to use words to tell information, express thoughts",5,1,5.03,easy
see,to use your eyes to look at something,3,1,6.1,easy
smell,to use your nose to sense something,5,1,4.49,hard
march,to walk with regular steps as a group ,5,1,5.26,easy
unclear,not easy to understand; not obvious,7,2,3.93,hard
defeat,to win against someone in something such as a fight or game,6,2,4.51,medium
pray,to wish or hope for something to happen or be true,4,1,4.4,hard
strain,too much pressure on a person or system that can cause problems,6,1,4.15,hard
soil,top layer of earth in which plants grow,4,1,4.42,hard
head,top part of your body with eyes and a mouth,4,1,5.51,easy
rear,towards the back part of something,4,1,4.43,hard
unfortunately,in a way that is to be regretted; unluckily,13,5,4.62,hard
journey,traveling from one place to another; trip,7,2,4.65,medium
unique,unlike other things; being the only one like it,6,2,4.75,medium
unit,single thing or person; a part of something larger,4,2,4.95,hard
therapy,treatment intended to help fix your problem or medical illness,7,3,4.52,medium
upset,"troubled, worried, or angry",5,2,4.61,hard
van,truck with an enclosed cargo space,3,1,4.78,easy
university,high-level educational institution; college,10,5,5.39,hard
pipe,"tube a round, hollow piece of metal, plastic, or wood",4,1,4.25,hard
unless,negative of 'if',6,2,4.98,medium
twin,two children born from the same mother at the same time,4,1,4.34,hard
ratio,two numbers that show ​the relationship between two groups of people or things,5,3,4.37,hard
vice,type of evildoing,4,1,4.71,easy
climate,typical weather conditions in a particular place,7,2,4.71,medium
blind,unable to see; with eyes that cannot see,5,1,4.52,hard
raw,uncooked,3,1,4.53,hard
upon,more formal term for on,4,2,5.12,hard
beneath,under; in or to a lower position; below,7,2,4.24,hard
illness,unhealthy condition of the mind or body,7,2,4.41,medium
word,unit of language that has a meaning,4,1,5.26,easy
meter,unit of length equal to 100 cm or about 39 inches,5,2,4.09,hard
year,unit of time equal to 12 months,4,1,5.96,easy
useful,that can help with a particular task,6,2,4.72,medium
usual,being the way things occur most of the time,5,3,4.62,hard
usually,normally; regularly,7,4,5.15,hard
minute,unit of time equal to 60 seconds,6,2,4.98,medium
ugly,unpleasant to look at; not attractive,4,2,4.42,hard
yet,until now; up to the present,3,1,5.54,easy
until,"up to, to indicate a point in time when something happens",5,2,5.61,hard
could,"used as the past form of can, to show possibility",5,1,6.06,easy
but,"used before you say something different, opposite",3,1,6.63,easy
various,several; consisting of different things or types,7,3,5.12,hard
vary,"to be changeable, both up and down",4,2,4.25,hard
ourselves,used by a speaker to show that they and one or more people are affected by their action,9,3,4.62,hard
vehicle,machine (such as a car) that is used to carry things,7,3,4.76,medium
everyday,used or seen daily; suitable for daily use; ordinary,8,3,4.47,medium
actually,used to add new (often different) information,8,4,5.49,hard
version,particular form of something and other forms,7,2,5.07,hard
with,used to express that people or things are together,4,1,6.85,easy
might,used to express that something could happen,5,1,5.66,easy
secondly,used to give a point or reason after the first,8,3,3.85,hard
should,used to indicate what is proper or reasonable,6,1,5.99,hard
or,"used to link alternatives, to introduce another choice",2,1,6.54,easy
some,used to refer to a person or thing that is not known,4,1,6.2,easy
the,used to refer to something already mentioned,3,1,7.73,easy
video,recording capturing action with sound ,5,3,5.43,hard
we,used to refer to the speaker and other people together,2,1,6.54,easy
village,small town in the country,7,2,4.82,medium
they,"used to refer to two or more people, animals, or things",4,1,6.5,easy
and,used to refer to two or more things,3,1,7.41,easy
both,used to refer to two things at the same time,4,1,5.79,easy
must,used to say that something is required or necessary,4,1,5.68,easy
without,used to say you don't have something or it isn't in a place,7,2,5.69,hard
versus,used to show that a thing or person is against another thing or person,6,2,4.32,hard
visitor,one who goes to a place to see it (or someone),7,3,4.01,hard
for,"used to show the purpose, or need of something",3,1,7.01,easy
that,used to show which person or thing we are talking about,4,1,7.01,easy
voice,sound made when you speak or sing,5,1,5.07,easy
volume,"level of sound produced by an object, such as a radio or television",6,2,4.76,medium
may,used to talk about what is possible,3,1,5.98,easy
than,used when comparing two things,4,1,6.13,easy
vote,"to make a choice for or against, as in an election",4,1,5.11,easy
wait,to spend time until an expected thing happens,4,1,5.35,easy
will,used with verbs to express the future,4,1,6.45,easy
wall,"high, flat side of a room or building",4,1,5.04,easy
functional,useful; not just for decoration,10,3,4.24,hard
electric,using a particular type of energy carried through metal wire,8,3,4.72,medium
war,situation where armies fight each other,3,1,5.46,easy
warm,slightly hot; not very hot,4,1,4.71,easy
warn,to tell someone about possible danger,4,1,4.02,hard
wash,to clean someone or something with soap and water,4,1,4.46,hard
waste,to use valuable things ineffectively,5,1,4.81,easy
digital,using electronic signals or computers,7,3,4.83,medium
wave,to move your hand or arm to say hello or goodbye,4,1,4.62,hard
experimental,using techniques that are different or untried before,12,5,4.28,hard
train,vehicle that carries people and runs on rails,5,1,4.96,easy
really,very,6,2,5.97,hard
precise,very accurate and exact expression or detail,7,2,4.13,hard
mad,"very angry, very strong feelings, crazy",3,1,4.74,easy
terrible,very bad; horrible,8,3,4.71,medium
weapon,something that is used for fighting,6,2,4.54,medium
awful,very bad; horrible; terrible,5,2,4.46,hard
severe,very bad; very serious,6,2,4.56,medium
weekend,Saturday and Sunday,7,2,4.93,medium
massive,very big; very large and heavy,7,2,4.72,medium
fantastic,"very fanciful in design, construction, or appearance",9,3,4.71,hard
weight,how heavy something is,6,1,5.02,hard
great,very good; fantastic; wonderful,5,1,5.88,easy
welcome,friendly greeting to someone who has arrived,7,2,4.99,medium
extreme,very great in degree,7,2,4.6,medium
greatly,very much,7,2,4.33,hard
radical,very new and different from what is traditional,7,3,4.33,hard
ancient,very old; having lived a very long time ago,7,2,4.68,medium
newly,very recently; just done or made,5,2,4.42,hard
whatever,anything or everything needed; no matter what,8,3,5.14,hard
moment,very short or brief period of time,6,2,5.24,hard
parallel,very similar and often occurring at the same time,8,3,4.27,hard
slight,very small in degree or amount,6,1,4.22,hard
whereas,taking into consideration the fact that,7,2,4.41,medium
steel,very strong metal made of iron and other substances mixed together,5,1,4.71,easy
intense,"very strong, great, or extreme in degree",7,2,4.39,medium
horrible,very unpleasant,8,3,4.44,medium
tiny,"very, very small",4,2,4.62,hard
quite,very; in a complete or total manner,5,1,5.29,easy
white,lightest color; the color of fresh snow and milk,5,1,5.51,easy
form,visible shape or style; type; kind,4,1,5.31,easy
curious,wanting to know more about something,7,3,4.45,medium
competitive,wanting to win or to be better than others,11,4,4.57,hard
wide,having a great distance from one side to the other,4,1,4.96,easy
sound,waves traveling in air or water that can be heard ,5,1,5.15,easy
wife,married woman,4,1,5.23,easy
wild,living in nature; not tame,4,1,4.8,easy
mode,way of acting or doing something,4,1,4.63,hard
yes,way to say you agree or will do something,3,1,5.5,easy
wind,natural movement of outside air as part of the weather,4,1,4.84,easy
window,opening in a wall or door to let in light,6,2,4.8,medium
wine,alcoholic drink made from the juice of grapes,4,1,4.74,easy
custom,what is usual or normal,6,2,4.43,medium
winter,coldest season of the year,6,2,4.89,medium
who,"what or which person or people, to ask about, talking about",3,1,6.34,easy
food,what people and animals eat to live,4,1,5.4,easy
name,what something or someone is called,4,1,5.61,easy
wish,to want something to happen or to become true,4,1,5.18,easy
probability,what the chances are that something will happen,11,5,4.02,hard
hello,what you say when you meet someone,5,2,4.72,hard
hi,what you say when you meet someone; hello,2,1,5.0,easy
excitement,when people feel very happy and enthusiastic,10,3,4.19,hard
wonder,surprise caused by experiencing something amazing,6,2,4.93,medium
wonderful,producing feelings of enjoyment or delight,9,3,4.85,hard
invitation,when someone asks you to do something or go somewhere,10,4,4.14,hard
pregnant,when women carry a child inside them that is not yet born,8,2,4.56,medium
youth,when you are young; a young person,5,1,4.75,easy
worker,person who works,6,2,4.43,medium
pride,when you respect yourself,5,1,4.49,hard
worry,to feel concerned or troubled about something,5,2,4.84,hard
worth,how much something is worth; the value of something,5,1,5.16,easy
hope,when you wish something would happen; what you wish,4,1,5.44,easy
boundary,where one area ends and another begins,8,3,4.13,hard
wrong,"not right, incorrect; not true; bad",5,1,5.39,easy
rice,white or brown grains from a plant used for food,4,1,4.55,hard
yeah,yes (informal),4,1,5.37,easy
sugar,white sweet substance used to make foods sweeter,5,2,4.68,hard
determination,will to achieve a goal despite difficulties,13,5,4.16,hard
cable,"wire carrying electricity, tv signals, internet, etc.",5,2,4.54,hard
yesterday,day before today,9,3,4.91,hard
surely,with certainty; definitely,6,2,4.55,medium
